network,quantity,symbol,method,finite outputs,attempted samples,method converged samples,common converged samples,sigma calibration samples,MCS [%],standardized MWS,standardized MWIS,component class
IEEE 33,Voltage magnitude,sigma_|U|,Monte Carlo UQ ILSE,33,1000,1000,1000,1000,68.7939393939394,1.9999999999999876,3.059181736713099,Node
IEEE 33,Voltage magnitude,sigma_|U|,Analytical UQ NRSE,33,1000,1000,1000,0,67.7969696969697,1.9801003962380763,3.068781093625724,Node
IEEE 33,Voltage magnitude,sigma_|U|,Monte Carlo UQ NRSE,33,1000,1000,1000,1000,68.14545454545454,1.9999999999999976,3.0688403212616264,Node
IEEE 33,Voltage magnitude,sigma_|U|,Gain inverse NumPy,33,1000,1000,1000,1,67.80606060606063,1.9802466308697473,3.0687438328354055,Node
IEEE 33,Active power,sigma_P,Analytical UQ ILSE,33,1000,1000,1000,0,56.22727272727273,1.5410982093496177,3.1298192657649846,Node
IEEE 33,Active power,sigma_P,Monte Carlo UQ ILSE,33,1000,1000,1000,1000,68.00303030303031,2.0,3.0448889039831446,Node
IEEE 33,Active power,sigma_P,Analytical UQ NRSE,33,1000,1000,1000,0,68.23030303030305,2.0049159932494756,3.043666132978804,Node
IEEE 33,Active power,sigma_P,Monte Carlo UQ NRSE,33,1000,1000,1000,1000,67.9787878787879,2.0000000000000004,3.0446864575318004,Node
IEEE 33,Active power,sigma_P,Gain inverse NumPy,33,1000,1000,1000,1,68.25454545454545,2.0055017172169007,3.043500220233474,Node
IEEE 33,Reactive power,sigma_Q,Analytical UQ ILSE,33,1000,1000,1000,0,84.76060606060607,2.891663778972332,3.3439238062422874,Node
IEEE 33,Reactive power,sigma_Q,Monte Carlo UQ ILSE,33,1000,1000,1000,1000,67.94545454545454,2.0000000000000004,3.0794832723398846,Node
IEEE 33,Reactive power,sigma_Q,Analytical UQ NRSE,33,1000,1000,1000,0,67.77878787878788,2.000743616431204,3.071260209043113,Node
IEEE 33,Reactive power,sigma_Q,Monte Carlo UQ NRSE,33,1000,1000,1000,1000,67.79393939393938,1.9999999999999993,3.071124423370558,Node
IEEE 33,Reactive power,sigma_Q,Gain inverse NumPy,33,1000,1000,1000,1,67.7909090909091,2.00128490694454,3.0707390395227034,Node
IEEE 33,Current magnitude,sigma_|I|,Analytical UQ ILSE,64,1000,1000,1000,0,61.059375,1.7145773767155714,3.0863813023044764,Branch terminal
IEEE 33,Current magnitude,sigma_|I|,Monte Carlo UQ ILSE,64,1000,1000,1000,1000,68.315625,1.9999999999999996,3.0432711288366985,Branch terminal
IEEE 33,Current magnitude,sigma_|I|,Analytical UQ NRSE,64,1000,1000,1000,0,68.20625,1.989341343003803,3.0460766131776635,Branch terminal
IEEE 33,Current magnitude,sigma_|I|,Monte Carlo UQ NRSE,64,1000,1000,1000,1000,68.478125,1.9999999999999993,3.0420896861097066,Branch terminal
IEEE 33,Current magnitude,sigma_|I|,Gain inverse NumPy,64,1000,1000,1000,1,68.21875,1.9904199489122878,3.0449404220769134,Branch terminal
IEEE 33,Active power,sigma_P,Analytical UQ ILSE,64,1000,1000,1000,0,56.018750000000004,1.5417835666970552,3.126300586883195,Branch terminal
IEEE 33,Active power,sigma_P,Monte Carlo UQ ILSE,64,1000,1000,1000,1000,68.2125,2.0000000000000004,3.0392085116001755,Branch terminal
IEEE 33,Active power,sigma_P,Analytical UQ NRSE,64,1000,1000,1000,0,68.3828125,2.0003911083248664,3.040601705174877,Branch terminal
IEEE 33,Active power,sigma_P,Monte Carlo UQ NRSE,64,1000,1000,1000,1000,68.4078125,1.9999999999999991,3.040743266809896,Branch terminal
IEEE 33,Active power,sigma_P,Gain inverse NumPy,64,1000,1000,1000,1,68.44531249999999,2.001009086430271,3.0402175798807396,Branch terminal
IEEE 33,Reactive power,sigma_Q,Analytical UQ ILSE,64,1000,1000,1000,0,84.85781250000001,2.9138472585355815,3.3645551835720395,Branch terminal
IEEE 33,Reactive power,sigma_Q,Monte Carlo UQ ILSE,64,1000,1000,1000,1000,67.8671875,2.000000000000001,3.0823194656646358,Branch terminal
IEEE 33,Reactive power,sigma_Q,Analytical UQ NRSE,64,1000,1000,1000,0,68.03281249999999,2.005578657696015,3.0762737153046804,Branch terminal
IEEE 33,Reactive power,sigma_Q,Monte Carlo UQ NRSE,64,1000,1000,1000,1000,67.9109375,1.9999999999999996,3.075418707778641,Branch terminal
IEEE 33,Reactive power,sigma_Q,Gain inverse NumPy,64,1000,1000,1000,1,68.05624999999999,2.0061974747074984,3.0746758191202774,Branch terminal
MV Oberrhein,Voltage magnitude,sigma_|U|,Analytical UQ ILSE,179,1000,1000,1000,0,52.05642458100559,1.423301011722137,3.2959554956867785,Node
MV Oberrhein,Voltage magnitude,sigma_|U|,Monte Carlo UQ ILSE,179,1000,1000,1000,1000,67.72960893854749,2.000000000000014,3.152509042793107,Node
MV Oberrhein,Voltage magnitude,sigma_|U|,Analytical UQ NRSE,179,1000,1000,1000,0,65.26256983240224,2.033426707505666,3.3069524239441854,Node
MV Oberrhein,Voltage magnitude,sigma_|U|,Monte Carlo UQ NRSE,179,1000,1000,1000,1000,64.73631284916202,2.0000000000000044,3.3104431894581965,Node
MV Oberrhein,Voltage magnitude,sigma_|U|,Gain inverse NumPy,179,1000,1000,1000,1,65.36480446927374,2.0402855913832907,3.3045100328437966,Node
MV Oberrhein,Active power,sigma_P,Analytical UQ ILSE,161,1000,1000,1000,0,56.02422360248448,1.547785321166574,3.1515691854367347,Node
MV Oberrhein,Active power,sigma_P,Monte Carlo UQ ILSE,161,1000,1000,1000,1000,68.0080745341615,1.9999999999999993,3.0634966717275045,Node
MV Oberrhein,Active power,sigma_P,Analytical UQ NRSE,161,1000,1000,1000,0,67.544099378882,1.986216411099388,3.0689220799598993,Node
MV Oberrhein,Active power,sigma_P,Monte Carlo UQ NRSE,161,1000,1000,1000,1000,68.17142857142858,1.9999999999999993,3.0658544854728587,Node
MV Oberrhein,Active power,sigma_P,Gain inverse NumPy,161,1000,1000,1000,1,69.21987577639752,2.054051809314176,3.076656815462086,Node
MV Oberrhein,Reactive power,sigma_Q,Analytical UQ ILSE,161,1000,1000,1000,0,91.9801242236025,3.5052272806445823,3.723907843415296,Node
