network,quantity,symbol,unit,method,finite outputs,attempted samples,method converged samples,common converged samples,sigma calibration samples,MCS [%],MWS,MWIS,standardized MWS,standardized MWIS,component class,rated voltage [kV]
CIGRE LV,Reactive power,sigma_Q,kvar,Analytical UQ NRSE,1,1000,1000,1000,0,67.80000000000001,3.0421573145564866,4.657396774795148,1.9611721426816453,3.0024603817949553,Node,20.0
CIGRE LV,Reactive power,sigma_Q,kvar,Monte Carlo UQ NRSE,1,1000,1000,1000,1000,68.7,3.102386831169948,4.65754347477634,1.9999999999999716,3.0025549541285645,Node,20.0
CIGRE LV,Reactive power,sigma_Q,kvar,Gain inverse NumPy,1,1000,1000,1000,1,73.7,3.5228320990741486,4.693903099934754,2.2710463206457048,3.0259947294609675,Node,20.0
CIGRE LV,Voltage magnitude,sigma_|U|,V,Analytical UQ ILSE,40,1000,1000,1000,0,52.23000000000001,0.3736128669815185,0.8568169001002086,1.3982116203179258,3.2065580500046242,Node,0.4
CIGRE LV,Voltage magnitude,sigma_|U|,V,Monte Carlo UQ ILSE,40,1000,1000,1000,1000,68.55749999999999,0.5344153367808104,0.8182692898136615,2.0000000000000266,3.062297181599353,Node,0.4
CIGRE LV,Voltage magnitude,sigma_|U|,V,Analytical UQ NRSE,40,1000,1000,1000,0,67.78500000000001,0.507650930991994,0.77679287444629,1.9965481088489323,3.055060573635637,Node,0.4
CIGRE LV,Voltage magnitude,sigma_|U|,V,Monte Carlo UQ NRSE,40,1000,1000,1000,1000,67.7975,0.5085286237201331,0.7767515655784087,1.9999999999999882,3.0548981093575045,Node,0.4
CIGRE LV,Voltage magnitude,sigma_|U|,V,Gain inverse NumPy,40,1000,1000,1000,1,68.4975,0.5158919504855561,0.776838208131147,2.0289593404263213,3.055238867177996,Node,0.4
CIGRE LV,Active power,sigma_P,kW,Analytical UQ ILSE,15,1000,1000,1000,0,66.18666666666667,0.6582426189819399,1.0698492688598475,1.9178106930989332,3.1170396881879583,Node,0.4
CIGRE LV,Active power,sigma_P,kW,Monte Carlo UQ ILSE,15,1000,1000,1000,1000,68.13333333333334,0.6864521314335849,1.064856143556173,2.0000000000000053,3.1024920596643293,Node,0.4
CIGRE LV,Active power,sigma_P,kW,Analytical UQ NRSE,15,1000,1000,1000,0,67.11333333333333,0.6672535470989299,1.032816223260415,2.015427379472808,3.1196028906446847,Node,0.4
CIGRE LV,Active power,sigma_P,kW,Monte Carlo UQ NRSE,15,1000,1000,1000,1000,68.18666666666667,0.6621459586139681,1.0258156885580034,2.000000000000001,3.0984579010503497,Node,0.4
CIGRE LV,Active power,sigma_P,kW,Gain inverse NumPy,15,1000,1000,1000,1,80.45333333333335,0.8744292460560757,1.0936198947072335,2.641197864852844,3.3032592904333216,Node,0.4
CIGRE LV,Reactive power,sigma_Q,kvar,Analytical UQ ILSE,15,1000,1000,1000,0,69.77999999999999,0.6683314412524471,1.061671929008778,1.9262173755240088,3.0598753710142197,Node,0.4
CIGRE LV,Reactive power,sigma_Q,kvar,Monte Carlo UQ ILSE,15,1000,1000,1000,1000,68.25333333333334,0.6939314843119757,1.0531938415402335,1.9999999999999993,3.0354404299279243,Node,0.4
CIGRE LV,Reactive power,sigma_Q,kvar,Analytical UQ NRSE,15,1000,1000,1000,0,71.36666666666667,0.6775464850043874,1.0297008741640195,2.0102628682690633,3.05509581787989,Node,0.4
CIGRE LV,Reactive power,sigma_Q,kvar,Monte Carlo UQ NRSE,15,1000,1000,1000,1000,68.32666666666667,0.6740874496555659,1.0194714659817734,2.000000000000001,3.0247454288095317,Node,0.4
CIGRE LV,Reactive power,sigma_Q,kvar,Gain inverse NumPy,15,1000,1000,1000,1,84.50000000000001,0.8803920817390143,1.0889840345214084,2.612100498796894,3.230987418851486,Node,0.4
CIGRE LV,Current magnitude,sigma_|I|,A,Analytical UQ ILSE,3,1000,1000,1000,0,65.7,0.04819190677982793,0.08190554884938636,1.8524538071462409,3.1483760641726137,Branch terminal,20.0
CIGRE LV,Current magnitude,sigma_|I|,A,Monte Carlo UQ ILSE,3,1000,1000,1000,1000,68.10000000000001,0.05203034655322333,0.0811301937908761,2.0000000000000204,3.118572108985918,Branch terminal,20.0
CIGRE LV,Current magnitude,sigma_|I|,A,Analytical UQ NRSE,3,1000,1000,1000,0,71.89999999999999,0.050330228687385827,0.07482931585414956,2.1004624544587958,3.1228979590126964,Branch terminal,20.0
CIGRE LV,Current magnitude,sigma_|I|,A,Monte Carlo UQ NRSE,3,1000,1000,1000,1000,68.4,0.047922997700383996,0.0745552118511245,2.0000000000000027,3.111458607712564,Branch terminal,20.0
CIGRE LV,Current magnitude,sigma_|I|,A,Gain inverse NumPy,3,1000,1000,1000,1,78.63333333333333,0.0605901075246357,0.08262738626927059,2.5286443015709046,3.4483396379274756,Branch terminal,20.0
CIGRE LV,Active power,sigma_P,kW,Analytical UQ ILSE,3,1000,1000,1000,0,67.23333333333333,1.6723339111623694,2.7466127008649517,1.9146825438945747,3.1446419629977,Branch terminal,20.0
CIGRE LV,Active power,sigma_P,kW,Monte Carlo UQ ILSE,3,1000,1000,1000,1000,68.6,1.746852413205527,2.7418110644849034,1.999999999999998,3.139144490694087,Branch terminal,20.0
CIGRE LV,Active power,sigma_P,kW,Analytical UQ NRSE,3,1000,1000,1000,0,71.8,1.7110073815226488,2.561517836219781,2.097638217938144,3.14033578534489,Branch terminal,20.0
CIGRE LV,Active power,sigma_P,kW,Monte Carlo UQ NRSE,3,1000,1000,1000,1000,68.2,1.6313655680858745,2.5549982676979823,2.000000000000002,3.1323430108872947,Branch terminal,20.0
CIGRE LV,Active power,sigma_P,kW,Gain inverse NumPy,3,1000,1000,1000,1,78.73333333333333,2.0076498071616324,2.7648962540442805,2.461311978672278,3.389670970300558,Branch terminal,20.0
